1,Kiran Naik,16,Male,983,Vilas More,Wacking,2023-03-01
2,Darshan Naik,7,Male,857,Vilas More,Popping,2023-03-02
3,Parth Thakkar,15,Male,814,Vilas More,Wacking,2023-03-03
4,Dhruv Thakkar,7,Female,878,Vilas More,Wacking,2023-03-04
5,Kiran Solanki,5,Female,980,Ganesh Katara,Locking,2023-03-05
6,Harsh Naik,12,Female,941,Avinash Kori,Popping,2023-03-06
7,Harsh Chawda,16,Male,843,Vilas More,Locking,2023-03-07
8,Krishna Gohil,17,Male,967,Kosha Patel,Lyrical,2023-03-08
9,Rinkle Dave,17,Male,926,Kosha Patel,Freestyle,2023-03-09
10,Pravin Pandya,12,Female,906,Ganesh Katara,Krump,2023-03-10
11,Riya Gandhi,10,Male,877,Avinash Kori,Urban,2023-03-11
12,Dhruv Vyas,11,Female,863,Ganesh Katara,Contemporary,2023-03-12
13,Mayur Acharya,5,Male,839,Kosha Patel,Locking,2023-03-13
14,Kiran Pandya,6,Female,890,Abhi Kori,Lyrical,2023-03-14
15,Hemal Chawda,10,Male,955,Avinash Kori,Locking,2023-03-15
16,Kiran Acharya,15,Female,908,Vilas More,Funk,2023-03-16
17,Darshan Pandya,10,Female,983,Kosha Patel,Popping,2023-03-17
18,Vivaan Naik,16,Male,901,Vilas More,Locking,2023-03-18
19,Parth Dave,9,Male,915,Vilas More,Bollywood,2023-03-19
20,Kavita Chawda,10,Male,907,Ganesh Katara,Contemporary,2023-03-20
21,Harsh Vyas,6,Male,854,Ganesh Katara,Contemporary,2023-03-21
22,Hemal Mehta,12,Female,802,Ganesh Katara,Robotics,2023-03-22
23,Krishna Shah,13,Male,835,Abhi Kori,Wacking,2023-03-23
24,Mihir Parekh,8,Female,862,Abhi Kori,Robotics,2023-03-24
25,Kavita Naik,14,Female,885,Karishma Patel,Classical,2023-03-25
26,Mihir Thakkar,10,Female,847,Abhi Kori,Freestyle,2023-03-26
27,Pravin Vyas,17,Male,997,Ganesh Katara,Robotics,2023-03-27
28,Darshan Chawda,8,Female,896,Vilas More,Classical,2023-03-28
29,Ketan Gandhi,12,Male,803,Karishma Patel,Robotics,2023-03-29
30,Parth Acharya,16,Female,824,Kosha Patel,Freestyle,2023-03-30
31,Ishita Patel,6,Male,972,Vilas More,Funk,2023-03-31
32,Ishita Shah,7,Female,849,Ganesh Katara,Freestyle,2023-04-01
33,Anya Parekh,17,Male,810,Avinash Kori,Funk,2023-04-02
34,Rinkle Pandya,17,Female,885,Avinash Kori,Contemporary,2023-04-03
35,Tara Thakkar,6,Male,882,Kosha Patel,Classical,2023-04-04
36,Rahil Shah,11,Male,967,Kosha Patel,Lyrical,2023-04-05
37,Nidhi Trivedi,17,Male,874,Abhi Kori,Classical,2023-04-06
38,Tara Panchal,5,Female,815,Ganesh Katara,Wacking,2023-04-07
39,Rinkle Gandhi,11,Female,831,Avinash Kori,Contemporary,2023-04-08
40,Dev Panchal,14,Female,992,Kosha Patel,Hip-Hop,2023-04-09
41,Pravin Vyas,13,Male,926,Karishma Patel,Classical,2023-04-10
42,Kavita Desai,8,Male,860,Vilas More,Popping,2023-04-11
43,Tara Desai,14,Male,890,Ganesh Katara,Freestyle,2023-04-12
44,Mayur Naik,6,Male,928,Kosha Patel,Freestyle,2023-04-13
